age,workclass,education,educationyears,maritalstatus,occupation,relationship,race,sex,hoursperweek,nativecountry,incomeUSD
39,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,43747
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,38907
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,25055
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,26733
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,23429
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,36970
49,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,45531
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,103612
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,64478
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,87200
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,167514
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,189843
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,35813
32,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,22373
40,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,115887
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,26294
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,36496
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,21612
38,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,23383
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,137281
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,96050
54,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,45278
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,37318
43,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,46082
59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,43226
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,178573
19,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,20810
54,?,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,South-Africa-Africa,134092
39,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,22624
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,34644
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,29433
20,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,34800
45,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,40889
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,43361
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,26573
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,49183
